>>> A/B lean physics: seed 92 = FULL block, seed 93 = LEAN  2026-09-01 08:59:51
2026-09-01 09:00:29,751 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:29,753 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:29,754 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:29,754 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:29,757 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:29,760 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:29,760 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:29,763 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:29,763 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:29,768 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:29,768 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:29,770 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:29,770 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:29,775 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:29,775 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:29,775 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:29,782 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:30,101 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:30,103 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:30,104 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:30,104 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:30,108 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:30,110 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:30,110 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:30,113 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:30,113 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:30,116 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:30,116 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:30,119 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:30,119 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:30,124 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:30,124 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:30,124 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:30,132 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:33,210 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:33,218 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_e2b29e8e-e174-47d1-8370-088d75ae0c78.json (1 events)
2026-09-01 09:00:33,668 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:33,677 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_869c6904-b1b7-4a47-8033-cc02a97786ee.json (1 events)
2026-09-01 09:00:35,159 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:35,161 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:35,161 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:35,162 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:35,165 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:35,167 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:35,167 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:35,170 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-09-01 09:00:35,170 [oasis.skfem] INFO: scikit-fem backend registered
2026-09-01 09:00:35,174 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-09-01 09:00:35,174 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-09-01 09:00:35,176 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-09-01 09:00:35,176 [oasis.dune] INFO: DUNE-fem backend registered
2026-09-01 09:00:35,181 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-09-01 09:00:35,181 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-09-01 09:00:35,181 [oasis] INFO: Starting OASiS MCP server
2026-09-01 09:00:35,189 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-09-01 09:00:38,539 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-09-01 09:00:38,548 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_7de89fe9-01d9-49b7-b834-8898e5e12d34.json (1 events)
2026-09-01 09:00:38,602 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-09-01 09:00:38,604 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-09-01 09:00:38,605 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-09-01 09:00:38,605 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-09-01 09:00:38,608 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-09-01 09:00:38,611 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-09-01 09:00:38,611 [oasis.ngsolve] INFO: NGSolve backend registered
2026-09-01 09:00:38,613 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
