x,y,T,ux,uy
1.470170454545e+00,3.409090909091e-02,8.301675975115e-05,8.301675975115e-07,8.301675975115e-07
1.490056818182e+00,3.409090909091e-02,2.832336509157e-05,2.832336509157e-07,2.832336509157e-07
6.349431818182e-01,5.681818181818e-02,4.609488828628e-05,4.609488828628e-07,4.609488828628e-07
6.548295454545e-01,5.681818181818e-02,1.351057070460e-04,1.351057070460e-06,1.351057070460e-06
6.747159090909e-01,5.681818181818e-02,2.198779153886e-04,2.198779153886e-06,2.198779153886e-06
6.946022727273e-01,5.681818181818e-02,3.004115133140e-04,3.004115133140e-06,3.004115133140e-06
7.144886363636e-01,5.681818181818e-02,3.767065008224e-04,3.767065008224e-06,3.767065008224e-06
7.343750000000e-01,5.681818181818e-02,4.487628779135e-04,4.487628779135e-06,4.487628779135e-06
7.542613636364e-01,5.681818181818e-02,5.165806445876e-04,5.165806445876e-06,5.165806445876e-06
7.741477272727e-01,5.681818181818e-02,5.801598008445e-04,5.801598008445e-06,5.801598008445e-06
7.940340909091e-01,5.681818181818e-02,6.395003466844e-04,6.395003466844e-06,6.395003466844e-06
8.139204545455e-01,5.681818181818e-02,6.946022821070e-04,6.946022821070e-06,6.946022821070e-06
8.338068181818e-01,5.681818181818e-02,7.454656071126e-04,7.454656071126e-06,7.454656071126e-06
8.536931818182e-01,5.681818181818e-02,7.920903217010e-04,7.920903217010e-06,7.920903217010e-06
8.735795454545e-01,5.681818181818e-02,8.344764258723e-04,8.344764258723e-06,8.344764258723e-06
8.934659090909e-01,5.681818181818e-02,8.726239196265e-04,8.726239196265e-06,8.726239196265e-06
9.133522727273e-01,5.681818181818e-02,9.065328029635e-04,9.065328029635e-06,9.065328029635e-06
9.332386363636e-01,5.681818181818e-02,9.362030758834e-04,9.362030758834e-06,9.362030758834e-06
9.531250000000e-01,5.681818181818e-02,9.616347383862e-04,9.616347383862e-06,9.616347383862e-06
9.730113636364e-01,5.681818181818e-02,9.828277904718e-04,9.828277904718e-06,9.828277904718e-06
9.928977272727e-01,5.681818181818e-02,9.997822321403e-04,9.997822321403e-06,9.997822321403e-06
1.012784090909e+00,5.681818181818e-02,1.012498063392e-03,1.012498063392e-05,1.012498063392e-05
1.032670454545e+00,5.681818181818e-02,1.020975284226e-03,1.020975284226e-05,1.020975284226e-05
1.052556818182e+00,5.681818181818e-02,1.025213894643e-03,1.025213894643e-05,1.025213894643e-05
1.072443181818e+00,5.681818181818e-02,1.025213894643e-03,1.025213894643e-05,1.025213894643e-05
1.092329545455e+00,5.681818181818e-02,1.020975284226e-03,1.020975284226e-05,1.020975284226e-05
1.112215909091e+00,5.681818181818e-02,1.012498063392e-03,1.012498063392e-05,1.012498063392e-05
1.132102272727e+00,5.681818181818e-02,9.997822321403e-04,9.997822321403e-06,9.997822321403e-06
1.151988636364e+00,5.681818181818e-02,9.828277904718e-04,9.828277904718e-06,9.828277904718e-06
1.171875000000e+00,5.681818181818e-02,9.616347383862e-04,9.616347383862e-06,9.616347383862e-06
1.191761363636e+00,5.681818181818e-02,9.362030758834e-04,9.362030758834e-06,9.362030758834e-06
